instance_id,label_gpt4o,label_wiktionary,dtw_distance
0,pur-SENT,pur-SENT,10.0803
1,wun·-oh·-WUN,wun·-oh·-WUN,10.1153
10,fighvmeth-ahkseedighmethuhl·-TRIPTUHMEEN,fighvmeth-ahkseedighmethuhl·-TRIPTUHMEEN,9.1072
100,ab-dahm·-in-AHS-kuh-pee,ab-dahm·-in-AHS-kuh-pee,9.3885
1000,ALTURSEKS,ALTURSEKS,9.6722
10000,hel-hath-noh-FYUUREE-lighk-uh-WUUMUHN-skawrnd,hel-hath-noh-FYUUREE-lighk-uh-WUUMUHN-skawrnd,10.1743
10001,-uhuu,-uhuu,10.2297
10002,huh-LUHɄ,huh-LUHɄ,11.1069
10003,helz·-BELZ,helz·-BELZ,10.9739
10004,HELUHVUH,HELUHVUH,9.2993
10005,HELPUR,HELPUR,9.3124
10006,HELP-fuhl-ee,HELP-fuhl-ee,12.3629
10007,HELP-fuhl-ee,HELP-fuhl-ee,11.3397
10008,HELPLIS,HELPLIS,10.1453
10009,HELPLUHSLEE,HELPLUHSLEE,9.9989
1001,al-TIM-i-tur,al-TIM-i-tur,10.534
10010,help·-VAM-pigh-ur,help·-VAM-pigh-ur,8.7228
10011,hel-SING-kee,hel-SING-kee,9.8574
10012,heltur·-SKELTUR,heltur·-SKELTUR,8.6118
10013,heemuh·-TOHMUH,heemuh·-TOHMUH,9.1218
10014,hee·-muh-TAHF-uh-jee,hee·-muh-TAHF-uh-jee,11.2195
10015,HEMISFIUHR,HEMISFIUHR,9.8407
10016,HEM-lok·,HEM-lok·,9.1833
10017,HEM-lok·,HEM-lok·,9.1928
10018,HEM(UH)RIJ,HEM(UH)RIJ,11.7128
10019,HEM(UH)ROYDZ,HEM(UH)ROYDZ,8.9518
1002,AL-toh,AL-toh,9.8688
10020,HEEMUHVAW,HEEMUHVAW,10.0696
10021,HENCH-muhn,HENCH-muhn,9.433
10022,hen-DEKUHG(UH)N,hen-DEKUHG(UH)N,9.5623
10023,hen-DIGH-uhdis,hen-DIGH-uhdis,9.4434
10024,hen-DIGHUHTRIS,hen-DIGHUHTRIS,11.5824
10025,henj,henj,9.1121
10026,HENUHUU-theeiz(uh)m·,HENUHUU-theeiz(uh)m·,9.7544
10027,HENPEKT,HENPEKT,8.1267
10028,hen-REE-et-uh,hen-REE-et-uh,11.8136
10029,hep,hep,11.1658
1003,AL-troo-iz-uhm,AL-troo-iz-uhm,10.3185
10030,hepuh·-TIGHTIS,hepuh·-TIGHTIS,12.0831
10031,hepuh·-TIGHZON,hepuh·-TIGHZON,10.6698
10032,-aysik,-aysik,10.7068
10033,HEP-tuh-gon,HEP-tuh-gon,9.7712
10034,hep-TAG-uh-nl,hep-TAG-uh-nl,9.3294
10035,hep-TALUHJEE,hep-TALUHJEE,10.1639
10036,hep-TALUHJEE,hep-TALUHJEE,8.979
10037,HEPTUHNAL,HEPTUHNAL,10.211
10038,HER-uhl-dree,HER-uhl-dree,11.2342
10039,hurb,hurb,11.1321
1004,AL-uhm,AL-uhm,12.7409
10040,(h)urb,(h)urb,11.3216
10041,URBUHL,URBUHL,10.251
10042,(H)URRBIVAWR,(H)URRBIVAWR,9.1119
10043,hurd,hurd,11.4121
10044,HEE-uh,HEE-uh,12.1067
10045,hir-AFTUR,hir-AFTUR,11.6771
10046,hir-BIGH,hir-BIGH,8.9626
10047,huh-REDI-teree·,huh-REDI-teree·,11.3706
10048,huh-REDUHTEE,huh-REDUHTEE,10.6261
10049,HERƗFUHD,HERƗFUHD,11.1174
1005,uh-L(Y)OOMINUH,uh-L(Y)OOMINUH,10.7338
10050,HE-ruh-fuhd-shuh,HE-ruh-fuhd-shuh,11.3599
10051,HIUHFAW,HIUHFAW,11.7178
10052,HIRIN-AFTUR,HIRIN-AFTUR,10.6804
10053,hir-UV,hir-UV,10.7927
10054,hirz,hirz,10.6498
10055,HERITIK,HERITIK,10.0893
10056,huh-RETIKUHL,huh-RETIKUHL,9.5705
10057,hir·-TOO,hir·-TOO,11.0397
10058,HER-i-tij,HER-i-tij,10.0131
10059,-urm,-urm,10.8391
1006,-inik,-inik,11.8783
10060,hur-MAFRUHDIGHT,hur-MAFRUHDIGHT,10.8541
10061,hur-maf·-ruh-DIGH-tuhs,hur-maf·-ruh-DIGH-tuhs,8.8227
10062,hurmuh-N(Y)OOTIKUHL,hurmuh-N(Y)OOTIKUHL,8.3437
10063,hurrmuh-NYOOTIKS,hurrmuh-NYOOTIKS,9.159
10064,HURMEEZ,HURMEEZ,9.677
10065,hur-MET-ik(-uh)lee,hur-MET-ik(-uh)lee,9.8532
10066,HURMIT,HURMIT,9.5603
10067,HURNEEAYT,HURNEEAYT,10.7575
10068,HERUHD,HERUHD,10.0137
10069,huh-RAHDUHTUHS,huh-RAHDUHTUHS,9.2814
1007,uh-LOO-mi-nuhm,uh-LOO-mi-nuhm,8.198
10070,hi-ROH-ik,hi-ROH-ik,9.9482
10071,hi-RUHUU-iks,hi-RUHUU-iks,10.2016
10072,-ayneeak,-ayneeak,10.7717
10073,HURP-tighl,HURP-tighl,10.1679
10074,HURST(UH)REE,HURST(UH)REE,9.8855
10075,HAHT-fuhd-shuh,HAHT-fuhd-shuh,11.9919
10076,hurts,hurts,9.0023
10077,HEZITUHNT,HEZITUHNT,8.5225
10078,HEZ-i-tayt,HEZ-i-tayt,10.5114
10079,HEZITAYTID,HEZITAYTID,9.3018
1008,al·-(y)uu-MIN-yuhm,al·-(y)uu-MIN-yuhm,12.0577
10080,hes-TURN(UH)L,hes-TURN(UH)L,9.8341
10081,HET-(uh)-roh,HET-(uh)-roh,11.5318
10082,HETUHRUHUUKLIGHT,HETUHRUHUUKLIGHT,12.0771
10083,HET-(uh-)ruh-doks·,HET-(uh-)ruh-doks·,11.7474
10084,HETERUHDOKSEE,HETERUHDOKSEE,10.3033
10085,-olisis,-olisis,9.2219
10086,HET-ruhuu-fuh-nom-uhn-ol·-uh-jee,HET-ruhuu-fuh-nom-uhn-ol·-uh-jee,9.2373
10087,-astik,-astik,9.3123
10088,HETFIK,HETFIK,9.3061
10089,HETSMUT,HETSMUT,9.6169
1009,uh-LOO-mi-nuhm,uh-LOO-mi-nuhm,9.2796
10090,hyoo,hyoo,10.0596
10091,-aysik,-aysik,10.7003
10092,HEKSAD,HEKSAD,9.4497
10093,heksuh·-DESIMUHL,heksuh·-DESIMUHL,8.1842
10094,hek-SAGUHNUHL,hek-SAGUHNUHL,8.6841
10095,heksuh·-hektuh·-enee·-uh-kahntuhkigh·-HEPTUH-gahn·,heksuh·-hektuh·-enee·-uh-kahntuhkigh·-HEPTUH-gahn·,11.8594
10096,heksuh-HEEDRUHN,heksuh-HEEDRUHN,10.4987
10097,HEKSAYN,HEKSAYN,10.2647
10098,HEK-suh-pod,HEK-suh-pod,11.2117
10099,heksuh·-kontuh·-HEEDRUHN,heksuh·-kontuh·-HEEDRUHN,9.2088
101,ab-DYOO-sing,ab-DYOO-sing,11.5062
1010,uh-LUMNUH,uh-LUMNUH,9.8605
10100,high-AYTUHS,high-AYTUHS,9.0496
10101,HIGHDUH-way·,HIGHDUH-way·,8.4763
10102,HIGHD-bownd,HIGHD-bownd,9.1042
10103,HIGHD-owt·,HIGHD-owt·,10.057
10104,HIGHDING-plays·,HIGHDING-plays·,8.4901
10105,highuh-RAHKUHL,highuh-RAHKUHL,11.5839
10106,high-RAHR-kik,high-RAHR-kik,9.7119
10107,high·-RAHRKIKUHL,high·-RAHRKIKUHL,10.4465
10108,high(uh)·-RATIK,high(uh)·-RATIK,10.1663
10109,high·-FIGH,high·-FIGH,9.1335
1011,uh-LUMNIGH,uh-LUMNIGH,11.5035
10110,HIGUHLDEE-piguhldee·,HIGUHLDEE-piguhldee·,9.8784
10111,higz,higz,8.6918
10112,high·-KRIGHM,high·-KRIGHM,9.9967
10113,HIGH-ist,HIGH-ist,7.1962
10114,high-FLIGHUH,high-FLIGHUH,10.269
10115,HIGH-light·,HIGH-light·,7.9982
10116,HIGH-light-ur,HIGH-light-ur,7.2532
10117,HUI-mem(uh)ree·-eriuh·,HUI-mem(uh)ree·-eriuh·,11.3205
10118,HIGH-RUHUULUH,HIGH-RUHUULUH,10.9803
10119,HIGH-skool,HIGH-skool,10.7456
1012,uh-LUMNUHS,uh-LUMNUHS,11.0606
10120,HUISKOOL,HUISKOOL,10.0184
10121,HIGH-tayl,HIGH-tayl,10.7912
10122,HIGH-tayl,HIGH-tayl,9.2495
10123,hui·-TEE,hui·-TEE,9.9031
10124,-ighway,-ighway,7.5201
10125,HIGH-jak,HIGH-jak,8.6443
10126,HIGH-jakuhr·,HIGH-jakuhr·,7.9612
10127,HIGH-jakuhrs·,HIGH-jakuhrs·,9.4045
10128,HIJRUH,HIJRUH,8.9169
10129,HI-luh-ree,HI-luh-ree,9.0176
1013,A-luhmz,A-luhmz,10.6346
10130,HIL-bilee·,HIL-bilee·,8.041
10131,HILMUHN,HILMUHN,9.9475
10132,HILTOP,HILTOP,10.4852
10133,HINDUR,HINDUR,11.3115
10134,highnd-leg,highnd-leg,9.9221
10135,HINDRUHNS,HINDRUHNS,12.4627
10136,HIGHN(D)SIGHT,HIGHN(D)SIGHT,10.1123
10137,HIGHNDTHAWT,HIGHNDTHAWT,10.0721
10138,HINDOO,HINDOO,9.8787
10139,HINDOOIZUHM,HINDOOIZUHM,9.8138
1014,AH-muh,AH-muh,11.1234
10140,HIP-hahp,HIP-hahp,10.0201
10141,HIPUR,HIPUR,8.963
10142,HIPEEZ,HIPEEZ,11.4202
10143,hipoduh·-MIGHUH,hipoduh·-MIGHUH,10.6558
10144,HIPUH-druhuum·,HIPUH-druhuum·,9.8383
10145,hip·-uh-PAH-tuh-muhs,hip·-uh-PAH-tuh-muhs,10.3474
10146,hipuh·-potuh·-monstruh·-seskwipi·-DAYLIUHN,hipuh·-potuh·-monstruh·-seskwipi·-DAYLIUHN,10.7791
